Item,Year,Value
Bananas,1984,19831.3
Bananas,1985,20537.3
Bananas,1986,21896.8
Bananas,1987,17493.2
Bananas,1988,17569.7
Bananas,1989,17822.8
Bananas,1990,17781.7
Bananas,1991,17797.2
Bananas,1992,17770.0
Bananas,1993,17393.5
Bananas,1994,17431.3
Bananas,1995,17679.7
Bananas,1996,17854.6
Bananas,1997,18003.2
Bananas,1998,17833.3
Bananas,1999,17580.6
Bananas,2000,20725.4
Bananas,2001,23421.3
Bananas,2002,20540.6
Bananas,2003,20384.6
Bananas,2004,17000.0
Bananas,2005,15000.0
Bananas,2006,15200.0
Bananas,2007,11484.3
Bananas,2008,12023.4
Bananas,2009,12638.9
Bananas,2010,13764.2
Bananas,2011,10513.6
Bananas,2012,9900.8
Bananas,2013,10658.2
Bananas,2014,10484.1
Bananas,2015,12692.0
Bananas,2016,13883.1
Bananas,2017,12715.3
Bananas,2018,13665.1
Bananas,2019,15107.8
Bananas,2020,14479.3
Bananas,2021,14183.9
Bananas,2022,14487.0
Oil palm fruit,1984,18182.6
Oil palm fruit,1985,17818.3
Oil palm fruit,1986,16978.1
Oil palm fruit,1987,16604.2
Oil palm fruit,1988,16526.2
Oil palm fruit,1989,18300.4
Oil palm fruit,1990,17754.3
Oil palm fruit,1991,15042.8
Oil palm fruit,1992,15107.0
Oil palm fruit,1993,17216.5
Oil palm fruit,1994,16086.2
Oil palm fruit,1995,16613.6
Oil palm fruit,1996,16354.1
Oil palm fruit,1997,16477.2
Oil palm fruit,1998,14242.5
Oil palm fruit,1999,16599.3
Oil palm fruit,2000,16762.1
Oil palm fruit,2001,16847.6
Oil palm fruit,2002,16224.0
Oil palm fruit,2003,17562.9
Oil palm fruit,2004,18032.3
Oil palm fruit,2005,18462.9
Oil palm fruit,2006,19062.6
Oil palm fruit,2007,18354.4
Oil palm fruit,2008,19552.3
Oil palm fruit,2009,18269.6
Oil palm fruit,2010,17118.9
Oil palm fruit,2011,18583.1
Oil palm fruit,2012,18695.9
Oil palm fruit,2013,18149.6
Oil palm fruit,2014,20339.9
Oil palm fruit,2015,20237.9
Oil palm fruit,2016,17260.1
Oil palm fruit,2017,19907.4
Oil palm fruit,2018,18965.7
Oil palm fruit,2019,18989.6
Oil palm fruit,2020,18534.8
Oil palm fruit,2021,17766.4
Oil palm fruit,2022,18011.6
Rice,1984,2518.7
Rice,1985,2664.8
Rice,1986,2639.9
Rice,1987,2468.6
Rice,1988,2525.1
Rice,1989,2625.1
Rice,1990,2769.4
Rice,1991,2817.8
Rice,1992,2991.8
Rice,1993,3034.8
Rice,1994,3061.4
Rice,1995,3161.9
Rice,1996,3251.0
Rice,1997,3067.6
Rice,1998,2882.9
Rice,1999,2941.5
Rice,2000,3064.0
Rice,2001,3110.1
Rice,2002,3238.5
Rice,2003,3359.6
Rice,2004,3326.0
Rice,2005,3422.1
Rice,2006,3390.7
Rice,2007,3527.7
Rice,2008,3583.6
Rice,2009,3720.5
Rice,2010,3636.1
Rice,2011,3746.8
Rice,2012,3797.2
Rice,2013,3876.3
Rice,2014,4629.2
Rice,2015,4022.3
Rice,2016,3977.5
Rice,2017,3749.6
Rice,2018,3770.4
Rice,2019,3500.9
Rice,2020,3653.8
Rice,2021,3768.3
Rice,2022,3703.6
